method,dimension,metric,trial,time_ms,status,note
rht,1024,apply_ms,4,0.070656,ok,
rht,1024,end_to_end_ms,4,0.074752,ok,
rht,1024,setup_ms,5,0.003744,ok,
rht,1024,apply_ms,5,0.078848,ok,
rht,1024,end_to_end_ms,5,0.082592,ok,
rht,1024,setup_ms,6,0.004096,ok,
rht,1024,apply_ms,6,0.071584,ok,
rht,1024,end_to_end_ms,6,0.075680,ok,
rht,1024,setup_ms,7,0.004096,ok,
rht,1024,apply_ms,7,0.070656,ok,
rht,1024,end_to_end_ms,7,0.074752,ok,
rht,1024,setup_ms,8,0.003936,ok,
rht,1024,apply_ms,8,0.079872,ok,
rht,1024,end_to_end_ms,8,0.083808,ok,
rht,1024,setup_ms,9,0.003840,ok,
rht,1024,apply_ms,9,0.079456,ok,
rht,1024,end_to_end_ms,9,0.083296,ok,
rht,1024,setup_ms,10,0.024576,ok,
rht,1024,apply_ms,10,0.079872,ok,
rht,1024,end_to_end_ms,10,0.104448,ok,
rht,1024,setup_ms,11,0.003808,ok,
rht,1024,apply_ms,11,0.114912,ok,
rht,1024,end_to_end_ms,11,0.118720,ok,
rht,1024,setup_ms,12,0.011904,ok,
rht,1024,apply_ms,12,0.070656,ok,
rht,1024,end_to_end_ms,12,0.082560,ok,
rht,1024,setup_ms,13,0.320512,ok,
rht,1024,apply_ms,13,0.017408,ok,
rht,1024,end_to_end_ms,13,0.337920,ok,
rht,1024,setup_ms,14,0.005024,ok,
rht,1024,apply_ms,14,0.092160,ok,
rht,1024,end_to_end_ms,14,0.097184,ok,
rht,1024,setup_ms,15,0.004096,ok,
rht,1024,apply_ms,15,0.074752,ok,
rht,1024,end_to_end_ms,15,0.078848,ok,
rht,1024,setup_ms,16,0.003072,ok,
rht,1024,apply_ms,16,0.017408,ok,
rht,1024,end_to_end_ms,16,0.020480,ok,
rht,1024,setup_ms,17,0.033664,ok,
rht,1024,apply_ms,17,0.096256,ok,
rht,1024,end_to_end_ms,17,0.129920,ok,
haar_qr,2048,setup_ms,0,16.231424,ok,
haar_qr,2048,apply_ms,0,0.060416,ok,
haar_qr,2048,end_to_end_ms,0,16.291840,ok,
haar_qr,2048,setup_ms,1,13.926400,ok,
haar_qr,2048,apply_ms,1,0.033568,ok,
haar_qr,2048,end_to_end_ms,1,13.959969,ok,
haar_qr,2048,setup_ms,2,14.773024,ok,
haar_qr,2048,apply_ms,2,0.048128,ok,
haar_qr,2048,end_to_end_ms,2,14.821152,ok,
haar_qr,2048,setup_ms,3,12.928000,ok,
haar_qr,2048,apply_ms,3,0.045728,ok,
haar_qr,2048,end_to_end_ms,3,12.973728,ok,
haar_qr,2048,setup_ms,4,14.060544,ok,
haar_qr,2048,apply_ms,4,0.038912,ok,
haar_qr,2048,end_to_end_ms,4,14.099456,ok,
haar_qr,2048,setup_ms,5,12.769280,ok,
haar_qr,2048,apply_ms,5,0.050752,ok,
haar_qr,2048,end_to_end_ms,5,12.820032,ok,
haar_qr,2048,setup_ms,6,12.921568,ok,
haar_qr,2048,apply_ms,6,0.047104,ok,
haar_qr,2048,end_to_end_ms,6,12.968672,ok,
haar_qr,2048,setup_ms,7,13.739008,ok,
haar_qr,2048,apply_ms,7,0.046080,ok,
haar_qr,2048,end_to_end_ms,7,13.785088,ok,
reflector_chain,2048,setup_ms,0,0.071680,ok,
reflector_chain,2048,apply_ms,0,3.681280,ok,
reflector_chain,2048,end_to_end_ms,0,3.752960,ok,
reflector_chain,2048,setup_ms,1,0.071680,ok,
reflector_chain,2048,apply_ms,1,3.694592,ok,
reflector_chain,2048,end_to_end_ms,1,3.766272,ok,
reflector_chain,2048,setup_ms,2,0.071680,ok,
reflector_chain,2048,apply_ms,2,3.694144,ok,
reflector_chain,2048,end_to_end_ms,2,3.765824,ok,
reflector_chain,2048,setup_ms,3,0.084768,ok,
reflector_chain,2048,apply_ms,3,5.318400,ok,
reflector_chain,2048,end_to_end_ms,3,5.403168,ok,
reflector_chain,2048,setup_ms,4,0.077472,ok,
reflector_chain,2048,apply_ms,4,3.699712,ok,
reflector_chain,2048,end_to_end_ms,4,3.777184,ok,
reflector_chain,2048,setup_ms,5,0.071680,ok,
reflector_chain,2048,apply_ms,5,3.714048,ok,
reflector_chain,2048,end_to_end_ms,5,3.785728,ok,
reflector_chain,2048,setup_ms,6,0.070656,ok,
reflector_chain,2048,apply_ms,6,3.709952,ok,
reflector_chain,2048,end_to_end_ms,6,3.780608,ok,
reflector_chain,2048,setup_ms,7,0.142016,ok,
reflector_chain,2048,apply_ms,7,3.710976,ok,
reflector_chain,2048,end_to_end_ms,7,3.852992,ok,
reflector_chain,2048,setup_ms,8,0.070656,ok,
reflector_chain,2048,apply_ms,8,3.708608,ok,
reflector_chain,2048,end_to_end_ms,8,3.779264,ok,
reflector_chain,2048,setup_ms,9,0.077824,ok,
reflector_chain,2048,apply_ms,9,3.730016,ok,
reflector_chain,2048,end_to_end_ms,9,3.807840,ok,
reflector_chain,2048,setup_ms,10,0.076800,ok,
reflector_chain,2048,apply_ms,10,3.693568,ok,
reflector_chain,2048,end_to_end_ms,10,3.770368,ok,
reflector_chain,2048,setup_ms,11,0.077696,ok,
reflector_chain,2048,apply_ms,11,4.993056,ok,
reflector_chain,2048,end_to_end_ms,11,5.070752,ok,
reflector_chain,2048,setup_ms,12,0.076800,ok,
reflector_chain,2048,apply_ms,12,3.724224,ok,
reflector_chain,2048,end_to_end_ms,12,3.801024,ok,
reflector_chain,2048,setup_ms,13,0.071680,ok,
reflector_chain,2048,apply_ms,13,3.709952,ok,
reflector_chain,2048,end_to_end_ms,13,3.781632,ok,
rht,2048,setup_ms,0,0.052224,ok,
rht,2048,apply_ms,0,0.212992,ok,
rht,2048,end_to_end_ms,0,0.265216,ok,
rht,2048,setup_ms,1,0.009824,ok,
rht,2048,apply_ms,1,0.099904,ok,
rht,2048,end_to_end_ms,1,0.109728,ok,
rht,2048,setup_ms,2,0.003168,ok,
rht,2048,apply_ms,2,0.099968,ok,
rht,2048,end_to_end_ms,2,0.103136,ok,
rht,2048,setup_ms,3,0.008288,ok,
rht,2048,apply_ms,3,0.064512,ok,
rht,2048,end_to_end_ms,3,0.072800,ok,
rht,2048,setup_ms,4,0.009184,ok,
rht,2048,apply_ms,4,0.087904,ok,
rht,2048,end_to_end_ms,4,0.097088,ok,
rht,2048,setup_ms,5,0.037984,ok,
rht,2048,apply_ms,5,0.097952,ok,
rht,2048,end_to_end_ms,5,0.135936,ok,
rht,2048,setup_ms,6,0.026336,ok,
rht,2048,apply_ms,6,0.092128,ok,
rht,2048,end_to_end_ms,6,0.118464,ok,
rht,2048,setup_ms,7,0.026784,ok,
rht,2048,apply_ms,7,0.100960,ok,
rht,2048,end_to_end_ms,7,0.127744,ok,
rht,2048,setup_ms,8,0.003072,ok,
rht,2048,apply_ms,8,0.096928,ok,
rht,2048,end_to_end_ms,8,0.100000,ok,
rht,2048,setup_ms,9,0.009216,ok,
rht,2048,apply_ms,9,0.092160,ok,
rht,2048,end_to_end_ms,9,0.101376,ok,
rht,2048,setup_ms,10,0.004096,ok,
rht,2048,apply_ms,10,0.094304,ok,
rht,2048,end_to_end_ms,10,0.098400,ok,
rht,2048,setup_ms,11,0.009344,ok,
rht,2048,apply_ms,11,0.099328,ok,
rht,2048,end_to_end_ms,11,0.108672,ok,
rht,2048,setup_ms,12,0.003680,ok,
rht,2048,apply_ms,12,0.096256,ok,
rht,2048,end_to_end_ms,12,0.099936,ok,
rht,2048,setup_ms,13,0.009216,ok,
rht,2048,apply_ms,13,0.100352,ok,
rht,2048,end_to_end_ms,13,0.109568,ok,
rht,2048,setup_ms,14,0.016384,ok,
rht,2048,apply_ms,14,0.100352,ok,
rht,2048,end_to_end_ms,14,0.116736,ok,
rht,2048,setup_ms,15,0.009216,ok,
rht,2048,apply_ms,15,0.082944,ok,
rht,2048,end_to_end_ms,15,0.092160,ok,
rht,2048,setup_ms,16,0.003072,ok,
rht,2048,apply_ms,16,0.093184,ok,
rht,2048,end_to_end_ms,16,0.096256,ok,
rht,2048,setup_ms,17,0.010144,ok,
rht,2048,apply_ms,17,0.078848,ok,
rht,2048,end_to_end_ms,17,0.088992,ok,
haar_qr,4096,setup_ms,0,44.599136,ok,
haar_qr,4096,apply_ms,0,0.123616,ok,
haar_qr,4096,end_to_end_ms,0,44.722752,ok,
haar_qr,4096,setup_ms,1,44.321793,ok,
haar_qr,4096,apply_ms,1,0.122880,ok,
haar_qr,4096,end_to_end_ms,1,44.444672,ok,
haar_qr,4096,setup_ms,2,44.113087,ok,
haar_qr,4096,apply_ms,2,0.125952,ok,
haar_qr,4096,end_to_end_ms,2,44.239040,ok,
haar_qr,4096,setup_ms,3,45.744034,ok,
haar_qr,4096,apply_ms,3,0.135936,ok,
haar_qr,4096,end_to_end_ms,3,45.879971,ok,
haar_qr,4096,setup_ms,4,45.375233,ok,
haar_qr,4096,apply_ms,4,0.122880,ok,
haar_qr,4096,end_to_end_ms,4,45.498112,ok,
haar_qr,4096,setup_ms,5,44.772350,ok,
haar_qr,4096,apply_ms,5,0.118624,ok,
haar_qr,4096,end_to_end_ms,5,44.890976,ok,
reflector_chain,4096,setup_ms,0,0.258816,ok,
reflector_chain,4096,apply_ms,0,14.726144,ok,
reflector_chain,4096,end_to_end_ms,0,14.984960,ok,
reflector_chain,4096,setup_ms,1,0.247808,ok,
reflector_chain,4096,apply_ms,1,15.261376,ok,
reflector_chain,4096,end_to_end_ms,1,15.509185,ok,
reflector_chain,4096,setup_ms,2,0.274240,ok,
reflector_chain,4096,apply_ms,2,14.168064,ok,
reflector_chain,4096,end_to_end_ms,2,14.442304,ok,
reflector_chain,4096,setup_ms,3,0.247680,ok,
reflector_chain,4096,apply_ms,3,14.137344,ok,
reflector_chain,4096,end_to_end_ms,3,14.385024,ok,
reflector_chain,4096,setup_ms,4,0.246784,ok,
reflector_chain,4096,apply_ms,4,15.666816,ok,
reflector_chain,4096,end_to_end_ms,4,15.913600,ok,
reflector_chain,4096,setup_ms,5,0.276480,ok,
reflector_chain,4096,apply_ms,5,14.544416,ok,
reflector_chain,4096,end_to_end_ms,5,14.820896,ok,
reflector_chain,4096,setup_ms,6,0.254976,ok,
reflector_chain,4096,apply_ms,6,15.416320,ok,
reflector_chain,4096,end_to_end_ms,6,15.671296,ok,
reflector_chain,4096,setup_ms,7,0.254688,ok,
reflector_chain,4096,apply_ms,7,14.182400,ok,
reflector_chain,4096,end_to_end_ms,7,14.437088,ok,
reflector_chain,4096,setup_ms,8,0.276320,ok,
reflector_chain,4096,apply_ms,8,14.826528,ok,
reflector_chain,4096,end_to_end_ms,8,15.102848,ok,
reflector_chain,4096,setup_ms,9,0.257024,ok,
reflector_chain,4096,apply_ms,9,14.540800,ok,
reflector_chain,4096,end_to_end_ms,9,14.797824,ok,
reflector_chain,4096,setup_ms,10,0.280160,ok,
reflector_chain,4096,apply_ms,10,15.040480,ok,
reflector_chain,4096,end_to_end_ms,10,15.320640,ok,
reflector_chain,4096,setup_ms,11,0.268224,ok,
reflector_chain,4096,apply_ms,11,14.148608,ok,
reflector_chain,4096,end_to_end_ms,11,14.416832,ok,
reflector_chain,4096,setup_ms,12,0.247520,ok,
reflector_chain,4096,apply_ms,12,14.138368,ok,
reflector_chain,4096,end_to_end_ms,12,14.385888,ok,
reflector_chain,4096,setup_ms,13,0.261120,ok,
reflector_chain,4096,apply_ms,13,15.366144,ok,
reflector_chain,4096,end_to_end_ms,13,15.627264,ok,
